Debug | 2023/07/10 00:37:04.550609 | DataPoint | {"DatePerformed":"2022-06-16T00:00:00Z","Sets":1,"Reps":5,"Effort":7,"Intensity":0.817307692,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.551915 | DataPoint | {"DatePerformed":"2022-06-09T00:00:00Z","Sets":6,"Reps":6,"Effort":9.5,"Intensity":0.778846154,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.553402 | DataPoint | {"DatePerformed":"2022-06-06T00:00:00Z","Sets":4,"Reps":4,"Effort":9.5,"Intensity":0.817307692,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.554529 | DataPoint | {"DatePerformed":"2022-06-06T00:00:00Z","Sets":1,"Reps":1,"Effort":9.5,"Intensity":0.951923077,"InterExerciseFatigue":2,"InterWorkoutFatigue":2}
Debug | 2023/07/10 00:37:04.555718 | DataPoint | {"DatePerformed":"2022-06-06T00:00:00Z","Sets":1,"Reps":2,"Effort":9.5,"Intensity":0.951923077,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.556850 | DataPoint | {"DatePerformed":"2022-05-30T00:00:00Z","Sets":1,"Reps":9,"Effort":10,"Intensity":0.817307692,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.557996 | DataPoint | {"DatePerformed":"2022-05-30T00:00:00Z","Sets":3,"Reps":6,"Effort":8,"Intensity":0.740384615,"InterExerciseFatigue":9,"InterWorkoutFatigue":9}
Debug | 2023/07/10 00:37:04.559158 | DataPoint | {"DatePerformed":"2022-05-23T00:00:00Z","Sets":1,"Reps":11,"Effort":10,"Intensity":0.778846154,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.560419 | DataPoint | {"DatePerformed":"2022-05-23T00:00:00Z","Sets":3,"Reps":6,"Effort":8,"Intensity":0.701923077,"InterExerciseFatigue":12,"InterWorkoutFatigue":12}
Debug | 2023/07/10 00:37:04.561539 | DataPoint | {"DatePerformed":"2022-05-23T00:00:00Z","Sets":1,"Reps":1,"Effort":8.5,"Intensity":0.875,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.562814 | DataPoint | {"DatePerformed":"2022-05-15T00:00:00Z","Sets":3,"Reps":6,"Effort":9,"Intensity":0.701923077,"InterExerciseFatigue":6,"InterWorkoutFatigue":6}
Debug | 2023/07/10 00:37:04.564228 | DataPoint | {"DatePerformed":"2022-05-15T00:00:00Z","Sets":1,"Reps":6,"Effort":10,"Intensity":0.875,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.565553 | DataPoint | {"DatePerformed":"2022-05-05T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":1.02970297,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.566674 | DataPoint | {"DatePerformed":"2022-05-02T00:00:00Z","Sets":1,"Reps":1,"Effort":5,"Intensity":0.623762376,"InterExerciseFatigue":0,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.567837 | DataPoint | {"DatePerformed":"2022-04-28T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":0.98019802,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.568898 | DataPoint | {"DatePerformed":"2022-04-28T00:00:00Z","Sets":3,"Reps":5,"Effort":5,"Intensity":0.623762376,"InterExerciseFatigue":2,"InterWorkoutFatigue":2}
