Debug | 2023/07/10 00:37:09.495807 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-09-10T00:00:00Z","Eps":0.612341890769606,"Eps1":0.010627063289949834,"Eps2":0,"Eps3":-0.0009204739565404213,"Eps4":0.004317350468022618,"Eps5":0.0008787945621451521,"Eps6":0,"Eps7":0.000575036528389139,"TimeFrame":28,"Win":4,"Rcond":0.0000017546945555469954,"Mse":0.0001655069307898245}
Debug | 2023/07/10 00:37:09.497459 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":28,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-09-19T00:00:00Z","Eps":0.3993170044597534,"Eps1":0.06212090370157464,"Eps2":0,"Eps3":-0.01615140261066983,"Eps4":0.03468022332939924,"Eps5":0,"Eps6":0,"Eps7":0.0007259748907182395,"TimeFrame":21,"Win":18,"Rcond":1.9004030274198668e-7,"Mse":0.0005719801846145425}
Debug | 2023/07/10 00:37:09.499395 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-09-17T00:00:00Z","Eps":0.6482993181172603,"Eps1":0.009214595076532994,"Eps2":0,"Eps3":-0.0007421150306123336,"Eps4":0.0025160303284095242,"Eps5":0.00028183159228514776,"Eps6":0.007337682059824324,"Eps7":0.001948051946428997,"TimeFrame":18,"Win":7,"Rcond":2.5373894942583517e-7,"Mse":2.500050855842623e-20}
Debug | 2023/07/10 00:37:09.500716 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-09-24T00:00:00Z","Eps":0.6484848563320611,"Eps1":-1.999694632104365e-9,"Eps2":0,"Eps3":-0.0022038568787667856,"Eps4":0.006315145985865911,"Eps5":0.0005303141071806294,"Eps6":0.003442865379071236,"Eps7":0.0012243645993663677,"TimeFrame":14,"Win":4,"Rcond":8.566187821463923e-8,"Mse":1.087164342447262e-26}
Debug | 2023/07/10 00:37:09.502796 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-09-13T00:00:00Z","Eps":0.6396660100972686,"Eps1":0.007630576146370971,"Eps2":0,"Eps3":-0.0009810086515660565,"Eps4":0.004144988605510158,"Eps5":0.0007178422425830333,"Eps6":0.002305219896985733,"Eps7":0.0008256766415700167,"TimeFrame":34,"Win":7,"Rcond":0.0000013185454137801955,"Mse":0.0001997286534962073}
Debug | 2023/07/10 00:37:09.504232 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":28,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-09-24T00:00:00Z","Eps":0.6636859433285984,"Eps1":0.032641200331820164,"Eps2":0,"Eps3":-0.009533770247131729,"Eps4":0.015604045462349503,"Eps5":0,"Eps6":0.002966729028076487,"Eps7":0.0038373935944561732,"TimeFrame":35,"Win":5,"Rcond":2.174765930268011e-7,"Mse":6.19210867121242e-8}
Debug | 2023/07/10 00:37:09.504895 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":28,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-09-13T00:00:00Z","Eps":0.4502854478246654,"Eps1":0.05903586614045486,"Eps2":0,"Eps3":-0.015672373155325103,"Eps4":0.013723414503229336,"Eps5":0,"Eps6":0.010035543134582714,"Eps7":0.0016409221308480437,"TimeFrame":17,"Win":3,"Rcond":2.529187917855088e-7,"Mse":0.0008529951003049069}
Debug | 2023/07/10 00:37:09.509737 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-09-29T00:00:00Z","Eps":1.0682043051201529,"Eps1":-0.06569097337748353,"Eps2":0,"Eps3":-0.0033047617699163423,"Eps4":0.0238073299374017,"Eps5":0,"Eps6":0,"Eps7":0.005026394599251194,"TimeFrame":16,"Win":5,"Rcond":1.0254573250016074e-7,"Mse":0.0005736112416151695}
Debug | 2023/07/10 00:37:09.511001 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-09-27T00:00:00Z","Eps":0.5392012193207372,"Eps1":0.023260094455422074,"Eps2":0,"Eps3":-0.0010970123701468243,"Eps4":-0.0039647343664835355,"Eps5":0,"Eps6":0.019842311652927047,"Eps7":0.004798102971236479,"TimeFrame":28,"Win":3,"Rcond":0.0000011086097908944107,"Mse":0.000008245401931029976}
Debug | 2023/07/10 00:37:09.516453 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-01T00:00:00Z","Eps":0.44989819502731265,"Eps1":0.04457052933159855,"Eps2":0,"Eps3":-0.0004571719036921412,"Eps4":0.013262257795351895,"Eps5":0,"Eps6":0,"Eps7":0.005709561070629879,"TimeFrame":18,"Win":11,"Rcond":2.359436324393349e-7,"Mse":0.000742884021705229}
